track_id,track_name,track_artist,playlist_genre,track_popularity,danceability,energy,valence,tempo,duration_ms,tempo_norm
1nocRtwyNPVtGcIJqfgdzZ,Tutu,Camilo,latin,88,0.731,0.832,0.94,146.013,178613,0.6098103909121283
6osaMSJh9NguagEDQcZaKx,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,pop,88,0.694,0.758,0.371,192.091,185195,0.8022510858670231
3Dv1eDb0MEgF93GpLXlucZ,Say So,Doja Cat,r&b,88,0.787,0.673,0.786,110.962,237893,0.4634229869695957
6U0FIYXCQ3TGrk4tFpLrEA,SUGAR,BROCKHAMPTON,r&b,88,0.453,0.538,0.516,122.973,204533,0.5135858670230538
5a6pdCHlWS2ekOOQ70QnAr,July,Noah Cyrus,pop,88,0.708,0.186,0.321,72.541,156107,0.30296107584363513
7HMmFQsKsljwTw8bS7lu19,Rare,Selena Gomez,r&b,88,0.838,0.545,0.631,114.998,220590,0.4802789842966923
7BlBVFwvbWvcwNcUarQmjk,"Yo x Ti, Tu x Mi",ROSALÍA,r&b,88,0.78,0.759,0.579,91.952,201040,0.384029401937855
2kJwzbxV2ppxnQoYw4GLBZ,If The World Was Ending (feat. Julia Michaels),JP Saxe,pop,88,0.464,0.473,0.604,75.801,208687,0.31657617774807884
5ry2OE6R2zPQFDO85XkgRb,Money In The Grave (Drake ft. Rick Ross),Drake,r&b,88,0.831,0.502,0.101,100.541,205427,0.4199006014032743
598yNsG1JFrGd4n2kMoz7F,Woah,Lil Baby,r&b,88,0.882,0.602,0.43,142.959,183011,0.5970556298028734
24Yi9hE78yPEbZ4kxyoXAI,Roses - Imanbek Remix,SAINt JHN,pop,88,0.77,0.724,0.898,121.974,176840,0.509413631807551
6Y4PDQv4XjYjHLeLmvyOt0,Si Te Vas,Sech,latin,88,0.732,0.644,0.554,174.1,204907,0.7271132642833278
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,r&b,88,0.76,0.479,0.913,89.911,158040,0.3755053458068827
1DFD5Fotzgn6yYXkYsKiGs,Piece Of Your Heart,MEDUZA,latin,88,0.677,0.744,0.631,124.08,152913,0.5182091546942866
5p7ujcrUXASCNwRaWNHR1C,Without Me,Halsey,pop,88,0.752,0.488,0.533,136.041,201661,0.5681632141663883
59s0s39NFWScuHDbHytI14,Indeciso,Reik,latin,88,0.738,0.748,0.896,94.949,217253,0.3965461075843635
0fySG6A6qLE8IvDpayb5bM,VIBEZ,DaBaby,r&b,88,0.768,0.652,0.777,154.187,144935,0.6439483795522887
4QPEwDdOMhY7rNS05mTyMR,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,latin,88,0.817,0.781,0.359,104.0,216707,0.43434680922151686
2VxeLyX666F8uXCJ0dZF8B,Shallow,Lady Gaga,r&b,88,0.572,0.385,0.323,95.799,215733,0.400096057467424
0pqnGHJpmpxLKifKRmU6WP,Believer,Imagine Dragons,latin,88,0.776,0.78,0.666,124.949,204347,0.5218384563982627
6kls8cSlUyHW2BUOkDJIZE,Hate Me (with Juice WRLD),Ellie Goulding,pop,88,0.657,0.768,0.759,75.025,186223,0.313335282325426
1ZMiCix7XSAbfAJlEZWMCp,Falling,Harry Styles,r&b,88,0.567,0.267,0.0592,110.011,240133,0.4594512195121951
0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),Post Malone,r&b,88,0.585,0.52,0.129,159.801,218147,0.6673947544269963
6Hj9jySrnFppAI0sEMCZpJ,Robbery,Juice WRLD,rap,88,0.685,0.692,0.578,159.966,240051,0.6680838623454728
5Id5B3dxJZhPcV9GzgYZZe,Quizas,Rich Music LTD,latin,88,0.727,0.815,0.677,176.075,216067,0.7353616772469094
1Xnn1TPyr5h0hpRAT4B4EA,Bellaquita - Remix,Dalex,latin,87,0.795,0.715,0.758,165.941,304733,0.6930379218175744
3e9HZxeyfWwjeyPAMmWSSQ,"thank u, next",Ariana Grande,latin,87,0.717,0.653,0.412,106.966,207320,0.4467340461075843
7LzouaWGFCy4tkXDOOnEyM,Liar,Camila Cabello,latin,87,0.74,0.498,0.652,98.016,207039,0.4093551620447712
3CYH422oy1cZNoo0GTG1TK,Psycho,Red Velvet,latin,87,0.664,0.666,0.405,139.987,210560,0.5846433344470431
3ClBKQkKoaUQ6UOhe2xlJK,Good News,Mac Miller,r&b,87,0.794,0.32,0.241,174.088,342040,0.7270631473438022
1mpD5Q8IM32I4bF6eCpU74,Up All Night,Khalid,latin,87,0.665,0.712,0.669,93.989,157220,0.3925367524223188
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,Travis Scott,pop,87,0.834,0.73,0.446,155.008,312820,0.6473772134981625
6V9fHiv84WlVTg7CSnIVY2,Graveyard,Halsey,latin,87,0.667,0.583,0.187,92.043,181806,0.38440945539592386
22vgEDb5hykfaTwLuskFGD,Sucker,Jonas Brothers,r&b,87,0.842,0.734,0.952,137.958,181027,0.5761693952555964
4SSnFejRGlZikf02HLewEF,bury a friend,Billie Eilish,pop,87,0.905,0.389,0.196,120.046,193143,0.5013615101904444
6Qs4SXO9dwPj5GKvVOv8Ki,Dancing With A Stranger (with Normani),Sam Smith,r&b,87,0.741,0.52,0.347,102.998,171030,0.4301620447711327
25sgk305KZfyuqVBQIahim,Sweet but Psycho,Ava Max,pop,87,0.719,0.704,0.628,133.002,187436,0.5554710992315403
2gwkD6igEhQbDQegRCcdoB,Suge,DaBaby,rap,87,0.876,0.662,0.844,75.445,163320,0.3150893752088206
6gi6y1xwmVszDWkUqab1qw,OUT WEST (feat. Young Thug),JACKBOYS,rap,87,0.802,0.591,0.309,139.864,157712,0.5841296358169061
6oJ6le65B3SEqPwMRNXWjY,Higher Love,Kygo,latin,87,0.693,0.678,0.404,103.952,228267,0.43414634146341463
5w9c2J52mkdntKOmRLeM2m,Con Calma,Daddy Yankee,latin,87,0.737,0.86,0.656,93.989,193227,0.3925367524223188
7dt6x5M1jzdTEt8oCbisTK,Better Now,Post Malone,pop,87,0.68,0.578,0.341,145.038,231267,0.6057383895756766
2qG5sZ7Si6sdK74qLxedYM,Con Altura,ROSALÍA,latin,87,0.882,0.689,0.746,97.963,161627,0.40913381222853323
3ee8Jmje8o58CHK66QrVC2,SAD!,XXXTENTACION,latin,87,0.74,0.613,0.473,75.023,166606,0.3133269295021717
3cphb8kdsjElYR7r5icK3H,Nice To Meet Ya,Niall Horan,r&b,87,0.591,0.841,0.392,109.034,158805,0.45537086535248916
7CZyCXKG6d5ALeq41sLzbw,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,pop,87,0.499,0.8,0.272,139.919,229573,0.5843593384563983
0qaWEvPkts34WF68r8Dzx9,Turn Me On (feat. Vula),Riton,latin,86,0.737,0.828,0.517,124.052,208474,0.518092215168727
56AMYGJzxBO6p8v0wEe9de,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,r&b,86,0.845,0.631,0.545,111.983,279907,0.46768710324089546
1tNJrcVe6gwLEiZCtprs1u,3 Nights,Dominic Fike,r&b,86,0.815,0.518,0.877,151.891,177667,0.6343593384563982
1ndyl3wJCFs872XZ3ztPk6,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,86,0.743,0.709,0.831,170.001,258600,0.709994153023722
2usxQITOSDqvkYiI0oIwao,You should be sad,Halsey,latin,86,0.591,0.585,0.324,110.94,205473,0.46333110591379884
7KbF6AdprOXEEHlsq11Z6d,11 PM,Maluma,latin,86,0.777,0.712,0.68,95.692,175733,0.39964918142332106
4yI3HpbSFSgFZtJP2kDe5m,Look At Her Now,Selena Gomez,pop,86,0.563,0.564,0.55,154.355,162596,0.6446500167056465
4bTZeO72FwMa6wKOiqoynL,Otro Trago - Remix,Sech,latin,86,0.725,0.79,0.763,175.988,287773,0.7349983294353492
0DiDStADDVh3SvAsoJAFMk,Only Human,Jonas Brothers,edm,86,0.795,0.496,0.874,94.01,183000,0.3926244570664885
25ZAibhr3bdlMCLmubZDVt,QUE PRETENDES,J Balvin,latin,86,0.639,0.791,0.939,92.603,222347,0.3867482459071166
6RRNNciQGZEXnqk8SQ9yv5,You Need To Calm Down,Taylor Swift,pop,86,0.771,0.671,0.714,85.026,171360,0.3551035750083528
4ZLzoOkj0MPWrTLvooIuaa,Get You The Moon (feat. Snøw),Kina,r&b,86,0.498,0.235,0.0895,118.917,179080,0.49664634146341463
1rqqCSm0Qe4I9rUvWncaom,High Hopes,Panic! At The Disco,pop,86,0.579,0.904,0.681,82.014,190947,0.34252422318743736
2FvD20Z8aoWIePi7PoN8sG,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,rap,86,0.816,0.582,0.542,160.004,136366,0.6682425659873037
4VXIryQMWpIdGgYR4TrjT1,All Girls Are The Same,Juice WRLD,r&b,86,0.671,0.529,0.203,161.989,165820,0.6765327430671567
5iwz1NiezX7WWjnCgY5TH4,Calma - Remix,Pedro Capó,latin,86,0.826,0.773,0.761,126.899,238200,0.529982459071166
2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD,J. Cole,rap,86,0.837,0.364,0.463,123.984,213594,0.5178082191780822
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,pop,86,0.825,0.652,0.931,95.977,233713,0.4008394587370531
6gBFPUFcJLzWGx4lenP6h2,goosebumps,Travis Scott,rap,86,0.841,0.728,0.43,130.049,243837,0.5431381556966255
7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,XXXTENTACION,rap,86,0.872,0.391,0.437,134.021,119133,0.5597268626795856
4R8BJggjosTswLxtkw8V7P,No Me Conoce - Remix,Jhay Cortez,pop,86,0.806,0.786,0.58,91.973,309120,0.38411710658202475
6IRdLKIyS4p7XNiP8r6rsx,all the good girls go to hell,Billie Eilish,pop,86,0.726,0.444,0.569,185.044,168840,0.7728199131306382
0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,latin,86,0.599,0.448,0.168,95.05,263400,0.39696792515870366
6DCZcSspjsKoFjzjrWoCdn,God's Plan,Drake,edm,86,0.754,0.449,0.357,77.169,198973,0.32228950885399266
0JP9xo3adEtGSdUEISiszL,Moonlight,XXXTENTACION,r&b,86,0.921,0.537,0.711,128.009,135090,0.5346182759772803
1cVlW9WQiGlFdWUXFdFZGh,Pa' Olvidarme De Ella,Piso 21,latin,86,0.728,0.542,0.637,90.016,227234,0.3759438690277314
4Of7rzpRpV1mWRbhp5rAqG,Bruises,Lewis Capaldi,pop,86,0.736,0.308,0.361,111.202,220492,0.4644253257601069
2qxmye6gAegTMjLKEBoR3d,Let Me Down Slowly,Alec Benjamin,r&b,86,0.652,0.557,0.483,150.073,169354,0.626766622118276
1c0hsvHLELX6y8qymnpLKL,Soltera - Remix,Lunay,latin,85,0.795,0.783,0.8,92.016,266087,0.3842966922819913
7BKLCZ1jbUBVqRi2FVlTVw,Closer (feat. Halsey),The Chainsmokers,pop,85,0.748,0.524,0.661,95.01,244960,0.39680086869361847
0bMbDctzMmTyK2j74j3nF3,"Alone, Pt. II",Alan Walker,r&b,85,0.67,0.668,0.608,88.033,179053,0.3676620447711327
3GRSqlALWISqLeNncZMbpX,Mean It,Lauv,pop,85,0.746,0.45,0.336,95.998,232853,0.40092716338122286
58wyJLv6yH1La9NIZPl3ne,Can We Kiss Forever?,Kina,latin,85,0.522,0.128,0.124,109.986,187932,0.4593468092215169
40rXWke6SnXiGkSmaT8ZUr,Fantasía,Ozuna,latin,85,0.695,0.719,0.781,180.074,175187,0.7520631473438023
5WHTFyqSii0lmT9R21abT8,Don't Call Me Up,Mabel,latin,85,0.674,0.881,0.234,98.994,178480,0.41343969261610425
2QpGZOhTCHHiKmpSO9FW4h,Follow God,Kanye West,r&b,85,0.529,0.9,0.434,180.291,104591,0.7529694286668894
1wJRveJZLSb1rjhnUHQiv6,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,pop,85,0.581,0.662,0.434,93.023,189487,0.38850233879051116
4sjiIpEv617LDXaidKioOI,223's (feat. 9lokknine),YNW Melly,pop,85,0.932,0.547,0.695,94.998,176640,0.3967507517540929
1VJwtWR6z7SpZRwipI12be,Candy,Doja Cat,pop,85,0.689,0.516,0.209,124.876,190920,0.5215335783494821
1zB4vmk8tFRmM9UULNzbLB,Thunder,Imagine Dragons,pop,85,0.605,0.822,0.288,167.997,187147,0.7016246241229537
3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,pop,85,0.422,0.264,0.331,119.93,269560,0.5008770464416973
5PYQUBXc7NYeI1obMKSJK0,Never Really Over,Katy Perry,pop,85,0.77,0.882,0.385,99.991,223523,0.4176035750083528
6XHVuErjQ4XNm6nDPVCxVX,No Guidance (feat. Drake),Chris Brown,r&b,85,0.698,0.454,0.137,92.932,260640,0.38812228533244236
4hPpVbbakQNv8YTHYaOJP4,One Thing Right,Marshmello,latin,85,0.659,0.623,0.439,88.042,181824,0.3676996324757768
4sWuPniHClkInYAnzXAYUF,Camelot,NLE Choppa,rap,85,0.787,0.713,0.762,175.041,148759,0.731043267624457
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,edm,85,0.358,0.557,0.494,85.043,211467,0.35517457400601404
5099x34vBakWpGkHourFxP,Qué Pena,Maluma,latin,85,0.635,0.661,0.858,126.15,212711,0.5268543267624457
7eBqSVxrzQZtK2mmgRG6lC,Murder On My Mind,YNW Melly,rap,85,0.759,0.73,0.74,115.007,268434,0.4803165720013365
2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),Meek Mill,rap,85,0.889,0.496,0.544,86.003,180522,0.3591839291680588
7hDVYcQq6MxkdJGweuCtl9,ocean eyes,Billie Eilish,r&b,85,0.511,0.363,0.169,144.892,200379,0.6051286334781156
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),Calvin Harris,pop,85,0.791,0.862,0.592,123.994,214847,0.5178499832943535
3TKpJrY9q49Mj1JOsM9zGL,Family,The Chainsmokers,r&b,85,0.584,0.607,0.374,117.817,194827,0.49205228867357165
2bPtwnrpFNEe8N7Q85kLHw,Combatchy (feat. MC Rebecca),Anitta,latin,85,0.826,0.73,0.605,150.134,157600,0.6270213832275309
5KawlOMHjWeUjQtnuRs22c,Boy With Luv (feat. Halsey),BTS,pop,85,0.645,0.862,0.798,119.991,229773,0.5011318075509522
6CcJMwBtXByIz4zQLzFkKc,i love you,Billie Eilish,r&b,85,0.421,0.131,0.12,137.446,291796,0.5740310725025058
4lKuzrdZrJuCAedbIslF3A,SENTADÃO,Pedro Sampaio,latin,85,0.68,0.869,0.924,173.997,143448,0.7266830938857335
0RDgqtvOHLwcI6yz9bjsZV,Perreo en La Luna,Rich Music LTD,latin,85,0.711,0.757,0.724,174.013,218587,0.7267499164717675
6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better,Tame Impala,rock,85,0.64,0.74,0.785,116.879,216320,0.48813481456732377
41zXlQxzTi6cGAjpOXyLYH,idontwannabeyouanymore,Billie Eilish,r&b,85,0.483,0.412,0.247,170.163,203569,0.7106707317073171
7hpJ9tATWb2vztlq99hERP,Maniac,Conan Gray,r&b,85,0.623,0.647,0.522,107.987,185787,0.45099816237888407
3i9UVldZOE0aD0JnyfAZZ0,Lover (Remix) [feat. Shawn Mendes],Taylor Swift,pop,85,0.448,0.603,0.422,205.272,221307,0.8573003675242231
3g0mEQx3NTanacLseoP0Gw,Takeaway,The Chainsmokers,pop,85,0.528,0.511,0.351,100.1,209880,0.41805880387571
6WkJ2OK163XXS2oARUC9JM,Dancin (feat. Luvli) - Krono Remix,Aaron Smith,pop,84,0.72,0.741,0.357,119.896,198053,0.5007350484463748
2iUXsYOEPhVqEBwsqP70rE,Youngblood,5 Seconds of Summer,latin,84,0.596,0.854,0.152,120.274,203418,0.50231373204143
58q2HKrzhC3ozto2nDdN4z,I Like It,Cardi B,latin,84,0.816,0.726,0.65,136.048,253390,0.5681924490477782
0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid),benny blanco,r&b,84,0.56,0.68,0.319,89.391,173800,0.3733336117607752
09IStsImFySgyp0pIQdqAc,The Middle,Zedd,pop,84,0.753,0.657,0.437,107.01,184732,0.4469178082191781
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,Kendrick Lamar,r&b,84,0.908,0.621,0.421,150.011,177000,0.6265076845973939
4h8VwCb1MTGoLKueQ1WgbD,Wake Me Up,Avicii,pop,84,0.532,0.783,0.643,124.08,247427,0.5182091546942866
1sviDBcAqVOxMXq4xITVEs,Que Calor (feat. J Balvin & El Alfa),Major Lazer,pop,84,0.795,0.885,0.46,126.037,169998,0.5263823922485801
1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),Camila Cabello,pop,84,0.765,0.523,0.394,104.988,217307,0.4384731039091213
7xapw9Oy21WpfEcib2ErSA,Mistletoe,Justin Bieber,pop,84,0.658,0.56,0.854,161.994,182947,0.6765536251252924
5hVghJ4KaYES3BFUATCYn0,EARFQUAKE,"Tyler, The Creator",latin,84,0.554,0.498,0.413,79.635,190067,0.3325885399264952
7AQim7LbvFVZJE3O8TYgf2,Fuck Love (feat. Trippie Redd),XXXTENTACION,rap,84,0.797,0.533,0.329,131.036,146520,0.5472602739726028
4bl1HBZliBuYpFZjWgefE4,Peta (feat. Meek Mill),Roddy Ricch,rap,84,0.778,0.573,0.269,140.114,198849,0.5851737387236886
6K5BsR04ijf3FHNzjbaagD,Si Se Da - Remix,Myke Towers,latin,84,0.817,0.672,0.774,93.999,332240,0.39257851653859005
0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,Dynoro,pop,84,0.694,0.77,0.163,125.905,184560,0.5258311059137989
1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,Ed Sheeran,edm,84,0.614,0.379,0.201,107.989,258987,0.45100651520213836
5bvnqVuq7UFl0txSlHpsfS,Loyal (feat. Drake),PARTYNEXTDOOR,r&b,84,0.866,0.53,0.203,104.952,197973,0.4383227530905446
4z6wo6PJG4Fve45OXK6D9m,Infeliz,Arcangel,latin,84,0.713,0.798,0.721,176.073,221103,0.7353533244236552
3a1lNhkSLSkpJE4MSHpDu9,Congratulations,Post Malone,r&b,84,0.63,0.804,0.492,123.146,220293,0.5143083862345473
78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),Lil Baby,rap,84,0.897,0.662,0.389,112.511,145543,0.46989224858002004
0Ryd8975WihbObpp5cPW1t,boyfriend (with Social House),Ariana Grande,r&b,84,0.4,0.795,0.702,190.097,186107,0.793923321082526
